time,total_packets
1645401708.4938436,6379399
1645401708.695032,6379400
1645401708.8962297,6379400
1645401709.097423,6379400
1645401709.298617,6379400
1645401709.4998238,6379401
1645401709.7009978,6379402
1645401709.9024205,6379403
1645401710.103641,6379403
1645401710.304828,6379403
1645401710.5059748,6379403
1645401710.707177,6379404
1645401710.9084084,6379404
1645401711.1096125,6379404
1645401711.3107858,6379404
1645401711.5119514,6379404
1645401711.7131813,6379405
1645401711.9142942,6379405
1645401712.1155465,6379405
1645401712.316755,6379405
1645401712.5179346,6379405
1645401712.7191775,6379406
1645401712.920311,6379406
1645401713.121556,6379406
1645401713.3227139,6379406
1645401713.5238478,6379406
1645401713.725023,6379407
1645401713.9262142,6379407
1645401714.1273732,6379407
1645401714.3288102,6379407
1645401714.5300915,6379408
1645401714.731276,6379420
1645401714.9325795,6379420
1645401715.1337874,6379420
1645401715.3349168,6379421
1645401715.5360885,6379421
1645401715.7373257,6379422
1645401715.9385834,6379422
1645401716.1397762,6379422
1645401716.3409653,6379422
1645401716.542179,6379422
1645401716.7434082,6379423
1645401716.944602,6379423
1645401717.1457758,6379423
1645401717.3469477,6379423
1645401717.548181,6379423
1645401717.7494147,6379424
1645401717.9505992,6379424
1645401718.1517916,6379425
1645401718.3529623,6379425
1645401718.5541801,6379425
1645401718.7554138,6379426
1645401718.95663,6379426
1645401719.1578393,6379426
1645401719.359005,6379426
1645401719.5602005,6379427
1645401719.7614188,6379429
1645401719.962595,6379429
1645401720.16382,6379437
1645401720.3652372,6379437
1645401720.5665002,6379437
1645401720.767681,6379438
1645401720.968903,6379439
1645401721.1701424,6379439
1645401721.3713748,6379439
1645401721.5726068,6379439
1645401721.7738051,6379441
1645401721.9749703,6379441
1645401722.1761756,6379441
1645401722.3774104,6379441
1645401722.5785959,6379441
1645401722.7797608,6379442
1645401722.9809296,6379443
1645401723.18212,6379443
1645401723.3833551,6379443
1645401723.584585,6379443
1645401723.785803,6379444
1645401723.9869823,6379444
1645401724.188213,6379444
1645401724.3894317,6379444
1645401724.5906386,6379444
1645401724.7918155,6379446
1645401724.992983,6379446
1645401725.194153,6379446
1645401725.39534,6379446
1645401725.5965633,6379446
1645401725.7977393,6379447
1645401725.998909,6379447
1645401726.2000895,6379447
1645401726.4012825,6379447
1645401726.6024637,6379447
1645401726.8036447,6379449
1645401727.00482,6379449
1645401727.2059877,6379449
1645401727.4071643,6379449
1645401727.6083593,6379449
1645401727.809581,6379450
1645401728.0107489,6379450
1645401728.2118347,6379452
1645401728.4130018,6379452
1645401728.6142285,6379454
1645401728.8154354,6379455
1645401729.0166245,6379455
1645401729.217796,6379455
1645401729.4189692,6379455
1645401729.6201913,6379456
1645401729.82139,6379458
1645401730.0225837,6379458
1645401730.2238374,6379459
1645401730.425168,6379459
1645401730.6263812,6379459
1645401730.8275776,6379460
1645401731.028845,6379460
1645401731.2299418,6379460
1645401731.4311762,6379460
1645401731.6324008,6379460
1645401731.8336017,6379461
1645401732.0347726,6379461
1645401732.2359421,6379461
1645401732.4371228,6379461
1645401732.6383154,6379461
1645401732.8395138,6379463
1645401733.0406702,6379463
1645401733.241851,6379463
1645401733.442997,6379463
1645401733.6441958,6379463
1645401733.845389,6379464
1645401734.0466099,6379464
1645401734.2477784,6379464
1645401734.4489563,6379465
1645401734.6501794,6379465
1645401734.8513722,6379467
1645401735.0525525,6379467
1645401735.2537167,6379467
1645401735.4548829,6379468
1645401735.6564057,6379468
1645401735.8575997,6379469
1645401736.0587769,6379469
1645401736.2599475,6379469
1645401736.4611828,6379469
1645401736.6623628,6379469
1645401736.8635595,6379470
1645401737.0647311,6379471
1645401737.266253,6379482
1645401737.4677737,6379482
1645401737.668987,6379482
1645401737.8701797,6379483
1645401738.0714135,6379483
