time,ping
1644038744.9998028,0.244 ms
1644038745.2020035,0.180 ms
1644038745.404107,0.252 ms
1644038745.6062784,0.225 ms
1644038745.808349,0.255 ms
1644038746.0106905,0.234 ms
1644038746.2129421,0.248 ms
1644038746.4150977,0.251 ms
1644038746.6171932,0.264 ms
1644038746.8193889,0.172 ms
1644038747.02165,0.255 ms
1644038747.2239099,0.198 ms
1644038747.4260356,0.204 ms
1644038747.6281426,0.256 ms
1644038747.830374,0.186 ms
1644038748.032523,0.257 ms
1644038748.2348304,0.268 ms
1644038748.4370852,0.189 ms
1644038748.6391556,0.199 ms
1644038748.8412726,0.264 ms
1644038749.043646,0.259 ms
1644038749.2458136,0.256 ms
1644038749.4479792,0.253 ms
1644038749.650185,0.254 ms
1644038749.852347,0.243 ms
1644038750.0546086,0.251 ms
1644038750.2569108,0.254 ms
1644038750.4590492,0.252 ms
1644038750.661209,0.215 ms
1644038750.8633409,0.245 ms
1644038751.0653892,0.243 ms
1644038751.2675755,0.242 ms
1644038751.469794,0.165 ms
1644038751.6719284,0.234 ms
1644038751.874016,0.187 ms
1644038752.0761175,0.246 ms
1644038752.2783172,0.251 ms
1644038752.4804816,0.231 ms
1644038752.6827195,0.250 ms
1644038752.8848925,0.185 ms
1644038753.0869424,0.186 ms
1644038753.2890463,0.267 ms
1644038753.49123,0.239 ms
1644038753.6934106,0.237 ms
1644038753.895606,0.245 ms
1644038754.0979457,0.249 ms
1644038754.3001208,0.252 ms
1644038754.502378,0.187 ms
1644038754.7045023,0.239 ms
1644038754.906784,0.236 ms
1644038755.1089976,0.198 ms
1644038755.3111267,0.248 ms
1644038755.513327,0.253 ms
1644038755.7154963,0.252 ms
1644038755.9176557,0.240 ms
1644038756.1200283,0.230 ms
1644038756.3222003,0.182 ms
1644038756.52433,0.250 ms
1644038756.7264743,0.243 ms
1644038756.9288418,0.242 ms
1644038757.1310184,0.166 ms
1644038757.3330746,0.248 ms
1644038757.5351915,0.157 ms
1644038757.737251,0.249 ms
1644038757.9393804,0.166 ms
1644038758.1415327,0.162 ms
1644038758.343702,0.269 ms
1644038758.5459049,0.251 ms
1644038758.7481077,0.249 ms
1644038758.9502594,0.143 ms
1644038759.152212,0.166 ms
1644038759.3542974,0.242 ms
