"STATION","NAME","DATE","TMIN"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-10","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-11","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-12","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-13","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-14","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-15","39"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-16","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-17","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-18","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-19","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-20","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-21","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-22","40"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-23","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-24","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-25","21"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-26","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-27","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-28","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-29","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-30",
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-31",
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-01","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-02","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-03","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-04","39"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-05","39"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-06","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-07","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-08","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-09","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-10","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-11","9"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-12","11"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-13","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-14","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-15","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-16","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-17","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-18","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-19","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-20","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-21","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-22","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-23","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-24","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-25","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-26","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-27","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-28","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-29","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-11-30","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-01","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-02","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-03","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-04","25"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-05","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-06","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-07","25"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-08","15"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-09","9"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-10","12"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-11","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-12","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-13","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-14","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-15","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-16","20"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-17","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-18","10"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-19","4"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-20","4"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-21","21"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-22","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-23","25"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-24","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-25","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-26","17"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-27","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-28","9"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-29","8"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-30","12"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-12-31","6"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-01","7"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-02","6"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-03","8"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-04","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-05","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-06","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-07","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-08","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-09","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-10","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-11","7"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-12","-7"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-13","-9"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-14","-9"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-15","2"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-16","8"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-17","20"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-18","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-19","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2013-01-20","26"
